Interface,Host,Description,Mode,VLANs,Port-Channel,Speed
ethernet7/6,SOLIDEFIRE,eth1,trunk,"3000",706,N/A
ethernet110/1/7,C220M3_TESTVHOST,CNA_1,trunk,"202,701,900,2020,2021,3000",1007,10000
ethernet110/1/8,C220M3_TESTVHOST2,CNA_1,trunk,"202,701,900,2020,2021,3000",1008,10000
ethernet110/1/9,C220M3_TESTVHOST3,CNA_1,trunk,"202,701,900,2020,2021,3000",1009,10000
ethernet110/1/10,C220M3_TESTVHOST4,CNA_1,trunk,"202,701,900,2020,2021,3000",1010,10000
ethernet110/1/30,C220M3_TESTVHOST3,CNA_3,trunk,"202,701,900,2020,2021,3000",N/A,10000
ethernet110/1/34,NetApp FAS,e0b,trunk,"202,701",1034,10000
ethernet110/1/36,SOLIDEFIRE,eth2,access,"701",1036,1000
ethernet120/1/7,C220M3_TESTVHOST,CNA_2,trunk,"202,701,900,2020,2021,3000",1007,10000
ethernet120/1/8,C220M3_TESTVHOST2,CNA_2,trunk,"202,701,900,2020,2021,3000",1008,10000
ethernet120/1/9,C220M3_TESTVHOST3,CNA_2,trunk,"202,701,900,2020,2021,3000",1009,10000
ethernet120/1/10,C220M3_TESTVHOST4,CNA_2,trunk,"202,701,900,2020,2021,3000",1010,10000
ethernet120/1/30,C220M3_TESTVHOST2,CNA_3,trunk,"202,701,900,2020,2021,3000",N/A,10000
ethernet120/1/34,NetApp FAS,e0d,trunk,"202,701",1034,10000
ethernet120/1/36,SOLIDEFIRE,eth3,access,"701",1036,1000
ethernet120/1/44,NetApp FAS,e0M,access,"701",N/A,1000
port-channel706,SOLIDEFIRE,iSCSI,trunk,"3000",N/A,N/A
port-channel1007,C220M3_TESTVHOST,LAN_Uplinks,trunk,"202,701,900,2020,2021,3000",N/A,N/A
port-channel1008,C220M3_TESTVHOST2,LAN_Uplinks,trunk,"202,701,900,2020,2021,3000",N/A,N/A
port-channel1009,C220M3_TESTVHOST3,LAN_Uplinks,trunk,"202,701,900,2020,2021,3000",N/A,N/A
port-channel1010,C220M3_TESTVHOST4,LAN_Uplinks,trunk,"202,701,900,2020,2021,3000",N/A,N/A
port-channel1034,NetApp FAS,SAN,trunk,"202,701",N/A,N/A
port-channel1036,SOLIDEFIRE,mgmt,access,"701",N/A,N/A
vfc2007,C220M3_TESTVHOST,CNA_2,N/A,N/A,N/A,N/A
vfc2008,C220M3_TESTVHOST2,CNA_2,N/A,N/A,N/A,N/A
vfc2009,C220M3_TESTVHOST3,CNA_2,N/A,N/A,N/A,N/A
vfc2010,C220M3_TESTVHOST4,CNA_2,N/A,N/A,N/A,N/A
vfc2030,C220M3_TESTVHOST2,CNA_3,N/A,N/A,N/A,N/A
vfc2034,NetApp FAS,e0d,N/A,N/A,N/A,N/A
